DateTime	Temperature	Illumination	Cage
2016-04-06 00:05:05	21.6	0	1
2016-04-06 00:06:05	21.2	0	1
2016-04-06 00:07:05	21.6	0	1
2016-04-06 00:08:05	21.6	0	1
2016-04-06 00:09:05	21.6	0	1
2016-04-06 00:10:05	21.6	0	1
2016-04-06 00:11:05	21.6	0	1
2016-04-06 00:12:05	21.2	0	1
2016-04-06 00:13:05	21.6	0	1
2016-04-06 00:14:05	21.2	0	1
2016-04-06 00:15:05	21.2	0	1
2016-04-06 00:16:05	21.2	0	1
2016-04-06 00:17:05	21.2	0	1
2016-04-06 00:18:05	21.2	0	1
2016-04-06 00:19:05	21.2	0	1
2016-04-06 00:20:05	21.6	0	1
2016-04-06 00:21:05	21.2	0	1
2016-04-06 00:22:05	21.2	0	1
2016-04-06 00:23:05	21.2	0	1
2016-04-06 00:24:05	21.6	0	1
2016-04-06 00:25:05	21.6	0	1
2016-04-06 00:26:05	21.2	0	1
2016-04-06 00:27:05	21.6	0	1
2016-04-06 00:28:05	21.2	0	1
2016-04-06 00:29:05	21.2	0	1
2016-04-06 00:30:05	21.6	0	1
2016-04-06 00:31:05	21.6	0	1
2016-04-06 00:32:05	21.2	0	1
2016-04-06 00:33:05	21.2	0	1
2016-04-06 00:34:05	21.6	0	1
2016-04-06 00:35:05	21.2	0	1
2016-04-06 00:36:05	21.2	0	1
2016-04-06 00:37:05	21.2	0	1
2016-04-06 00:38:05	21.6	0	1
2016-04-06 00:39:05	21.2	0	1
2016-04-06 00:40:05	21.6	0	1
2016-04-06 00:41:05	21.2	0	1
2016-04-06 00:42:05	21.2	0	1
2016-04-06 00:43:05	21.2	0	1
2016-04-06 00:44:05	21.2	0	1
2016-04-06 00:45:05	21.6	0	1
2016-04-06 00:46:05	21.6	0	1
2016-04-06 00:47:05	21.2	0	1
2016-04-06 00:48:05	21.2	0	1
2016-04-06 00:49:05	21.2	0	1
2016-04-06 00:50:05	21.2	0	1
2016-04-06 00:51:05	21.6	0	1
2016-04-06 00:52:05	21.2	0	1
2016-04-06 00:53:05	21.2	0	1
2016-04-06 00:54:05	21.2	0	1
2016-04-06 00:55:05	21.2	0	1
2016-04-06 00:56:05	21.2	0	1
2016-04-06 00:57:05	21.2	0	1
2016-04-06 00:58:05	21.2	0	1
2016-04-06 00:59:05	21.2	0	1
2016-04-06 01:00:05	21.6	0	1
2016-04-06 01:01:05	21.2	0	1
2016-04-06 01:02:05	21.2	0	1
2016-04-06 01:03:05	21.2	0	1
2016-04-06 01:04:05	21.6	0	1
2016-04-06 01:05:05	21.2	0	1
2016-04-06 01:06:05	21.2	0	1
